Asset,White_Stat,White_p,BP_Stat,BP_p,DW_Stat,BG_Stat,BG_p,JB_Stat,JB_p
EURUSD,45.15882850682507,1.562733726697244e-10,1.0313445398939942,0.3098430830210343,2.400781686908339,251.84711543941145,1.0274428316767212e-56,3505730.959544889,0.0
IBEX35,452.3326030343781,5.987193007695925e-99,0.5693655004322923,0.4505111598038348,2.2463263891989853,94.30531389669082,2.7042335758391376e-22,10053.868212401218,0.0
NASDAQ100,217.99028609930377,4.613290671919213e-48,0.05140623782251552,0.8206341353394271,2.058042286988202,0.255460576306224,0.6132560942023817,54835.9920410233,0.0
EUROSTOXX50,653.2138481822981,1.4335574954895407e-142,0.7528266720600002,0.38558276270597924,2.312658302908706,150.5061094495845,1.3438087147204465e-34,15858.902501056113,0.0
VIX,627.2152191727332,6.337904249698286e-137,66.6939826500732,3.1710158112745433e-16,2.173840905742505,45.56067695741827,1.479828239506107e-11,23527.520937175705,0.0
