Date,EURUSD,SP500,IBEX35,NASDAQ100,EUROSTOXX50,VIX
2000-01-03,1.19650137424469,1455.219970703125,11609.98828125,3790.550048828125,4181.02978515625,24.209999084472656
2000-01-04,1.19650137424469,1399.4200439453125,11206.587890625,3546.199951171875,4181.02978515625,27.010000228881836
2000-01-05,1.19650137424469,1402.1099853515625,10863.0888671875,3507.31005859375,4181.02978515625,26.40999984741211
2000-01-06,1.19650137424469,1403.449951171875,10863.0888671875,3340.81005859375,4181.02978515625,25.729999542236328
2000-01-07,1.19650137424469,1441.469970703125,11102.388671875,3529.60009765625,4181.02978515625,21.719999313354492
2000-01-10,1.19650137424469,1457.5999755859375,11173.2880859375,3717.409912109375,4181.02978515625,21.709999084472656
2000-01-11,1.19650137424469,1438.56005859375,11012.3896484375,3544.35009765625,4181.02978515625,22.5
2000-01-12,1.19650137424469,1432.25,10851.7890625,3478.139892578125,4181.02978515625,22.84000015258789
2000-01-13,1.19650137424469,1449.6800537109375,10931.8896484375,3612.080078125,4181.02978515625,21.709999084472656
2000-01-14,1.19650137424469,1465.1500244140625,11183.98828125,3704.739990234375,4181.02978515625,19.65999984741211
2000-01-17,1.19650137424469,1465.1500244140625,11285.587890625,3704.739990234375,4181.02978515625,19.65999984741211
2000-01-18,1.19650137424469,1455.1400146484375,11066.2890625,3757.780029296875,4181.02978515625,21.5
2000-01-19,1.19650137424469,1455.9000244140625,11120.6884765625,3790.889892578125,4181.02978515625,21.719999313354492
2000-01-20,1.19650137424469,1445.5699462890625,11047.5888671875,3841.739990234375,4181.02978515625,21.75
2000-01-21,1.19650137424469,1441.3599853515625,10969.2890625,3849.9599609375,4181.02978515625,20.81999969482422
2000-01-24,1.19650137424469,1401.530029296875,10954.9892578125,3660.9599609375,4181.02978515625,24.06999969482422
2000-01-25,1.19650137424469,1410.030029296875,10863.4892578125,3759.110107421875,4181.02978515625,23.020000457763672
2000-01-26,1.19650137424469,1404.0899658203125,11031.3896484375,3621.2099609375,4181.02978515625,23.030000686645508
2000-01-27,1.19650137424469,1398.56005859375,11206.587890625,3593.14990234375,4181.02978515625,23.540000915527344
2000-01-28,1.19650137424469,1360.1600341796875,11009.2890625,3446.1298828125,4181.02978515625,26.139999389648438
