Date,volatility
2000-01-04,0.015916856228064696
2000-01-05,0.022825663064653164
2000-01-06,0.01793527869948527
2000-01-07,0.01696493399866252
2000-01-10,0.04249900340096106
2000-01-11,0.02711370440029236
2000-01-12,0.003346682540195399
2000-01-13,0.01164019303828914
2000-01-14,0.027987478754444607
2000-01-17,0.026553235822465004
2000-01-18,0.01605346349383423
2000-01-19,0.009244766160375605
2000-01-20,0.016516640247539002
2000-01-21,0.008986196223829455
2000-01-24,0.013112045145469844
2000-01-25,0.011856668643639422
2000-01-26,0.021992748947482915
2000-01-27,0.011868409014244938
2000-01-28,0.012100324911224106
2000-01-31,0.01167402060934506
2000-02-01,0.040684581272065035
2000-02-02,0.026556456583276312
2000-02-03,0.015941408831326102
2000-02-04,0.027090797991706595
2000-02-07,0.01564048134377348
2000-02-08,0.015923133403076273
2000-02-09,0.02809467621211143
2000-02-10,0.005156506509885749
2000-02-11,0.019581136906980896
2000-02-14,0.00519665087240645
2000-02-15,0.01800637334933691
2000-02-16,0.024607548586314344
2000-02-17,0.005941503897043811
2000-02-18,0.01641622629101852
2000-02-21,0.014658846012503161
2000-02-22,0.016010846421689418
2000-02-23,0.020475183571723052
2000-02-24,0.022242703024626522
2000-02-25,0.010759364053654144
2000-02-28,0.001482108545440541
2000-02-29,0.026851544800807908
2000-03-01,0.029441293090117986
2000-03-02,0.025258741578886492
2000-03-03,0.017886455113758606
2000-03-06,0.03547518455524904
2000-03-07,0.0038679298802766727
2000-03-08,0.009803039734463155
2000-03-09,0.024064607323976573
2000-03-10,0.041071115959139995
2000-03-13,0.011510410091111967
2000-03-14,0.007860138160407277
2000-03-15,0.0019128782985643705
2000-03-16,0.039765625119858386
2000-03-17,0.062174165075132654
2000-03-20,0.020326924044918107
2000-03-21,0.01073097553853041
2000-03-22,0.041020610725227384
2000-03-23,0.020586790398025353
2000-03-24,0.033496966419193426
2000-03-27,0.01616053147862111
2000-03-28,0.013681592152334623
2000-03-29,0.005518697811201732
2000-03-30,0.016513679653852798
2000-03-31,0.0026009598380272165
2000-04-03,0.02306688072379494
2000-04-04,0.020902106024469833
2000-04-05,0.00864784304027135
2000-04-06,0.011113722551578054
2000-04-07,0.025263723958079097
2000-04-10,0.025885605983260892
2000-04-11,0.008314323609336066
2000-04-12,0.013448188612509645
2000-04-13,0.0064408527463366
2000-04-14,0.002351503236132453
2000-04-17,0.04357664525539056
2000-04-18,0.048313431071570614
2000-04-19,0.04408084297915899
2000-04-20,0.006662832257943339
2000-04-24,0.020890781872072522
2000-04-25,0.012803356260117332
2000-04-26,0.0484479471449584
2000-04-27,0.005550651104917876
