Asset,Alpha,Beta,Alpha_t,Beta_t,Alpha_p,Beta_p,R2,Observations
EURUSD,-7.877910120447508e-05,0.058914766326599276,-0.9639542988318319,8.75388258890327,0.33510599658865325,2.6157161175115024e-18,0.01206849136472643,6275.0
IBEX35,-0.00016494590240655462,0.5947608535467885,-1.0876900692837321,47.62523626969449,0.2767737419536969,0.0,0.26555670407996834,6275.0
NASDAQ100,1.8058637314384137e-05,1.2234877887480031,0.16307902919228193,134.1664460389669,0.8704614641596826,0.0,0.7415714647899909,6275.0
EUROSTOXX50,-0.00013343935447188764,0.49569868324814614,-1.069103532873385,48.226387639004415,0.2850641566382329,0.0,0.27047828379154837,6275.0
VIX,0.0005340963193810784,-4.285251600969392,0.8749247590604701,-85.24297187087943,0.3816483430323163,0.0,0.5366843019653451,6275.0
