Date,EURUSD,SP500,IBEX35,NASDAQ100,EUROSTOXX50,VIX
2000-01-04,0.0,-0.03909917534093802,-0.03536397644569959,-0.06663454630906947,0.0,0.10944144314460613
2000-01-05,0.0,0.0019203379615859075,-0.031131109756107774,-0.011027215274673622,0.0,-0.022464455747105753
2000-01-06,0.0,0.0009552217400569889,0.0,-0.04863606850148479,0.0,-0.026085112028780603
2000-01-07,0.0,0.02672994972987063,0.02178958069087892,0.05497126764938873,0.0,-0.1694241450503834
2000-01-10,0.0,0.011127824873139451,0.006365656518203255,0.051842587852869736,0.0,-0.00046052173278798055
2000-01-11,0.0,-0.013148576788902815,-0.01450496671076111,-0.047672351713507394,0.0,0.035742367490941555
2000-01-12,0.0,-0.004396019678609715,-0.014691013692368473,-0.018857176628129555,0.0,0.014998082258165799
2000-01-13,0.0,0.012096245165416932,0.007354216706625965,0.037786168076446414,0.0,-0.050740449749107255
2000-01-14,0.0,0.010614763497340866,0.02279896402392727,0.025329272878540948,0.0,-0.0991868347617497
2000-01-17,0.0,0.0,0.009043366107054977,0.0,0.0,0.0
2000-01-18,0.0,-0.006855516976735141,-0.019623037970349522,0.014215287085359565,0.0,0.08946682817593386
2000-01-19,0.0,0.0005221568736222691,0.004903734452050815,0.008772426389212095,0.0,0.010180528318603757
2000-01-20,0.0,-0.007120612569861287,-0.006594998176072229,0.013324594741891715,0.0,0.001380294082472238
2000-01-21,0.0,-0.0029165681339535805,-0.007112737332054205,0.002137362061596841,0.0,-0.04369970900568892
2000-01-24,0.0,-0.028022584228459112,-0.0013044722846837146,-0.050337351057236024,0.0,0.14505219058729832
2000-01-25,0.0,0.006046483603040547,-0.008387435113359145,0.026456858400299217,0.0,-0.04460281593708946
2000-01-26,0.0,-0.004221619766667546,0.015337256042232284,-0.03737404248847009,0.0,0.00043432046864333483
2000-01-27,0.0,-0.003946204024482488,0.015756996494782755,-0.007778985419172851,0.0,0.02190339707668405
2000-01-28,0.0,-0.02784081272973308,-0.01776243322695567,-0.04177739963747425,0.0,0.1047655441222023
2000-01-31,0.0,0.024904850529124643,-0.015949539851848236,0.03532778668579775,0.0,-0.04659283207047994
2000-02-01,0.0,0.010571740915406745,0.012373458235661515,0.03623417799025837,0.0,-0.06200332534924343
2000-02-02,0.0,-0.00011356385074743024,0.020356467296380788,0.00610807142869799,0.0,-0.014172447323820841
2000-02-03,0.0,0.011185347697919614,0.030653672625686648,0.03345251440597366,0.0,-0.04920117416583521
2000-02-04,0.0,-0.00042113303572190804,0.00311362700444478,0.00600872039154051,0.0,-0.021585191705530967
2000-02-07,0.0,-9.12760143166444e-05,-0.0063499324082755245,0.01510586087302732,0.0,0.05641016919808732
2000-02-08,0.0,0.01219849367259354,0.028106207525174686,0.032376051730856774,0.0,-0.06996498805949375
2000-02-09,0.0,-0.02103511705975112,0.008807912432360785,-0.023486911513541767,0.0,0.07477999853170136
2000-02-10,0.0,0.00362024285277645,0.006769587751541605,0.030166869775032138,0.0,0.007396165055282806
2000-02-11,0.0,-0.021192298989189638,0.03370016517721189,-0.030058538493438203,0.0,0.05686941284938888
2000-02-14,0.0,0.0020308868535491302,0.0020890946835653637,0.0043343744482084645,0.0,-0.0016393821767009618
2000-02-15,0.0,0.008674947553079746,-0.023839976331363737,0.002730786650421673,0.0,-0.06175319445485284
2000-02-16,0.0,-0.010309372816680578,0.0057376797831003015,0.00023513231033901107,0.0,0.025415977112242867
2000-02-17,0.0,0.0004250581374747612,0.007458826798847719,0.031371383379151276,0.0,-0.01456753055041306
2000-02-18,0.0,-0.03084710308169203,0.0033448379878753725,-0.039463116042965145,0.0,0.11523819628440717
2000-02-21,0.0,0.0,-0.008746116763262647,0.0,0.0,0.0
2000-02-22,0.0,0.004506673481115292,-0.01507183042183215,0.000851905275650549,0.0,-0.0053991410756223405
2000-02-23,0.0,0.006281139106337607,0.019304197544606196,0.0493906832603251,0.0,-0.07923746115655393
2000-02-24,0.0,-0.005349730316245383,0.0032435212311661245,0.019698745844302184,0.0,0.020303153840792013
2000-02-25,0.0,-0.014940089385435541,0.02704299465828347,-0.017664832087663215,0.0,0.03308093516265445
2000-02-28,0.0,0.010957078745980514,-0.017800096580063433,-0.0039445602878766355,0.0,-0.020850813390258075
2000-02-29,0.0,0.013535073096645703,0.009484035037056143,0.024869994662351336,0.0,-0.05454002694101372
2000-03-01,0.0,0.009302114728482016,-0.0037493054307947645,0.009811195989711445,0.0,-0.07690975868798576
2000-03-02,0.0,0.0018617281349938522,0.013537719157421945,-0.017499601835647836,0.0,-0.027167944426526737
2000-03-03,0.0,0.019642853797381482,0.0027814579135149887,0.04809206726531346,0.0,-0.09194455222539728
2000-03-06,0.0,-0.012776701994211102,0.005617762863673254,0.0032157281036120605,0.0,0.11262200601204647
2000-03-07,0.0,-0.025965297120289534,-0.01174081595585396,-0.014998025428172274,0.0,0.12283483122577557
2000-03-08,0.0,0.008140128606934442,8.680392948183899e-05,0.012414584614331472,0.0,-0.020362215243984353
2000-03-09,0.0,0.025279570403423504,-0.008330881873450756,0.031131948329214214,0.0,-0.06998295443047528
2000-03-10,0.0,-0.004734054939684533,-0.003947865456980149,0.00019630424325054813,0.0,-0.044656411087175954
2000-03-13,0.0,-0.008241305233129576,-0.01238287669464154,-0.03558419896710882,0.0,0.07306494843697406
2000-03-14,0.0,-0.017843727175416074,0.015741515007266244,-0.04618672000293826,0.0,0.06604174411909743
2000-03-15,0.0,0.023982619773033384,-0.022251512130856316,-0.02321043975682604,0.0,-0.08861407768251914
