Date,volatility
2000-01-04,0.04718368261884602
2000-01-05,0.05944902318376372
2000-01-06,0.06134274008791509
2000-01-07,0.05600877288720343
2000-01-10,0.05676119322951871
2000-01-11,0.05458096596125576
2000-01-12,0.05518833186249659
2000-01-13,0.05541984378612001
2000-01-14,0.05420218318435649
2000-01-17,0.05644483788697143
2000-01-18,0.05469309440784283
2000-01-19,0.056349060901075276
2000-01-20,0.054359684827288125
2000-01-21,0.0539772986358508
2000-01-24,0.053904023404002896
2000-01-25,0.053492782062054996
2000-01-26,0.05388827817281063
2000-01-27,0.054716941817911785
2000-01-28,0.05505795498762476
2000-01-31,0.05602249812471464
2000-02-01,0.05594102543243219
2000-02-02,0.054919499257638615
2000-02-03,0.05607063155599088
2000-02-04,0.059369787964314816
2000-02-07,0.055331069584966926
2000-02-08,0.054274024280897185
2000-02-09,0.057992007032239765
2000-02-10,0.05519402844410014
2000-02-11,0.05408373929909353
2000-02-14,0.059845519867681114
2000-02-15,0.05547859944679689
2000-02-16,0.057734750426127815
2000-02-17,0.054873518507397114
2000-02-18,0.0540295024535533
2000-02-21,0.053529456365218935
2000-02-22,0.053943500172084644
2000-02-23,0.05509471551356297
2000-02-24,0.055888860390120164
2000-02-25,0.05414348025159834
2000-02-28,0.05762348027948446
2000-02-29,0.056863184659265716
2000-03-01,0.05487802483364726
2000-03-02,0.053924639642768814
2000-03-03,0.054431646326541176
2000-03-06,0.05364774214034
2000-03-07,0.05350170866257605
2000-03-08,0.054357915061602397
2000-03-09,0.05361197305820613
2000-03-10,0.05392006130155443
2000-03-13,0.053622043131191885
2000-03-14,0.05450117093446876
2000-03-15,0.05498558093665251
2000-03-16,0.057129941197605116
2000-03-17,0.0545764508070396
2000-03-20,0.05405369090576082
2000-03-21,0.0535236069400349
2000-03-22,0.05352189503455451
2000-03-23,0.054267594535397645
2000-03-24,0.05411266429962074
2000-03-27,0.05421224418471561
2000-03-28,0.053737419801720046
2000-03-29,0.053456217475818225
2000-03-30,0.05409545720312323
2000-03-31,0.05660394636590218
2000-04-03,0.05469956309855472
2000-04-04,0.05671614620223006
2000-04-05,0.05499605272867409
2000-04-06,0.05611706969837778
2000-04-07,0.05644239059277414
2000-04-10,0.05559623117684847
2000-04-11,0.05407122073514924
2000-04-12,0.05671252201420407
2000-04-13,0.054401845401109
2000-04-14,0.054018267655051605
2000-04-17,0.05751656103382359
2000-04-18,0.05587685356104973
2000-04-19,0.054160860707381894
2000-04-20,0.05375474981185756
2000-04-24,0.05448229856525691
2000-04-25,0.05365413584721411
2000-04-26,0.05375500428491129
2000-04-27,0.05349848448131515
2000-04-28,0.05566045272034865
2000-05-01,0.05562298435465236
2000-05-02,0.05403313568741102
2000-05-03,0.060025519168411846
2000-05-04,0.05747811679750561
2000-05-05,0.054967641377377495
2000-05-08,0.0539207727820267
2000-05-09,0.05686064848770673
2000-05-10,0.0573288190409609
2000-05-11,0.05776775702847477
2000-05-12,0.056621409333079756
2000-05-15,0.054510091589856015
2000-05-16,0.05422463124830819
2000-05-17,0.055549265522673544
2000-05-18,0.05922708269334402
2000-05-19,0.05529578288084688
2000-05-22,0.060446763566906696
2000-05-23,0.05855555798449539
2000-05-24,0.05512646511313184
2000-05-25,0.05400028822790327
2000-05-26,0.05590284697327166
2000-05-29,0.05514108303695212
2000-05-30,0.054552155547050854
2000-05-31,0.054008670995422246
2000-06-01,0.053535128548089665
2000-06-02,0.05498110207944532
2000-06-05,0.057051893023016616
2000-06-06,0.05562407863312135
2000-06-07,0.056827443755303506
2000-06-08,0.05502551185096136
2000-06-09,0.054355413250168974
2000-06-12,0.05380863293866336
2000-06-13,0.05389654593670355
2000-06-14,0.05345440498647209
2000-06-15,0.053521546553939855
2000-06-16,0.05334615515883906
2000-06-19,0.05471637738175631
2000-06-20,0.05479516208918741
2000-06-21,0.0538575254740186
2000-06-22,0.056251411684320136
2000-06-23,0.0551629513358466
2000-06-26,0.053926874806301414
2000-06-27,0.053641013490645394
2000-06-28,0.053414553070065776
2000-06-29,0.05340360986393153
2000-06-30,0.0562207377497749
2000-07-03,0.05652557964707411
2000-07-04,0.054713564517857596
2000-07-05,0.055100877090996564
2000-07-06,0.05441979592077501
2000-07-07,0.053674253886838136
2000-07-10,0.05450908679525454
2000-07-11,0.05399303672672615
2000-07-12,0.0535475256152345
2000-07-13,0.05334329356042624
2000-07-14,0.05336976948958694
2000-07-17,0.054347821119082165
2000-07-18,0.053825531072905476
2000-07-19,0.054947211215358754
2000-07-20,0.053920379542757815
2000-07-21,0.05426265983602539
2000-07-24,0.054309090158263525
2000-07-25,0.05378152499937924
2000-07-26,0.0543107374730247
2000-07-27,0.05360665853061854
2000-07-28,0.05340710996597332
2000-07-31,0.05503067683023924
2000-08-01,0.05391810820886767
2000-08-02,0.05346296985735919
2000-08-03,0.05370756363953402
2000-08-04,0.05568548335025129
2000-08-07,0.05483842040393766
2000-08-08,0.05446258663718576
2000-08-09,0.05481287271517475
2000-08-10,0.05403127885329665
2000-08-11,0.054601180202931636
2000-08-14,0.0537262948123171
2000-08-15,0.053942766412331984
2000-08-16,0.0534803891094422
2000-08-17,0.054059329960804016
2000-08-18,0.05545651366914199
2000-08-21,0.05449634273400494
2000-08-22,0.053664096066548095
2000-08-23,0.05488048619807182
2000-08-24,0.05493658452085652
2000-08-25,0.054232150085548714
2000-08-28,0.053968195054827986
2000-08-29,0.053796048464690105
2000-08-30,0.05375197494954681
2000-08-31,0.05342231998013399
2000-09-01,0.05329958047266626
2000-09-04,0.05701974293148351
