Date,EURUSD_excess,SP500_excess,IBEX35_excess,NASDAQ100_excess,EUROSTOXX50_excess,VIX_excess
2000-01-04,-0.0002038027464045,-0.0393029780873425,-0.035567779192104,-0.0668383490554739,-0.0002038027464045,0.10923764039820161
2000-01-05,-0.0002038027464045,0.0017165352151814,-0.0313349125025122,-0.0112310180210781,-0.0002038027464045,-0.0226682584935102
2000-01-06,-0.0002026716984489,0.000752550041608,-0.0002026716984489,-0.048838740199933596,-0.0002026716984489,-0.0262877837272295
2000-01-07,-0.0002019174933356,0.026528032236535,0.021587663197543298,0.0547693501560531,-0.0002019174933356,-0.16962606254371898
2000-01-10,-0.0002022946228011,0.010925530250338301,0.0061633618954021,0.0516402932300686,-0.0002022946228011,-0.000662816355589
2000-01-11,-0.0002038027464045,-0.0133523795353073,-0.0147087694571656,-0.04787615445991179,-0.0002038027464045,0.035538564744537
2000-01-12,-0.000204179696753,-0.0046001993753627,-0.0148951933891214,-0.0190613563248825,-0.000204179696753,0.0147939025614127
2000-01-13,-0.0002019174933356,0.0118943276720813,0.0071522992132903,0.0375842505831108,-0.0002019174933356,-0.0509423672424428
2000-01-14,-0.0002030487562476,0.0104117147410932,0.0225959152676796,0.0251262241222933,-0.0002030487562476,-0.09938988351799731
2000-01-18,-0.0002022946228011,-0.0070578115995362,-0.019825332593150603,0.014012992462558401,-0.0002022946228011,0.0892645335531327
2000-01-19,-0.0002068172752256,0.00031533959839660005,0.0046969171768252,0.008565609113986399,-0.0002068172752256,0.0099737110433781
2000-01-20,-0.0002049334720761,-0.0073255460419373,-0.006799931648148299,0.0131196612698156,-0.0002049334720761,0.0011753606103961
2000-01-21,-0.0002049334720761,-0.0031215016060296,-0.0073176708041303,0.0019324285895207,-0.0002049334720761,-0.043904642477764995
2000-01-24,-0.0002060638576826,-0.0282286480861417,-0.0015105361423663,-0.0505434149149186,-0.0002060638576826,0.1448461267296157
2000-01-25,-0.0002087002024761,0.0058377834005644,-0.0085961353158352,0.0262481581978231,-0.0002087002024761,-0.0448115161395655
2000-01-26,-0.000209076669966,-0.0044306964366335,0.015128179372266199,-0.037583119158436,-0.000209076669966,0.00022524379867729997
2000-01-27,-0.000209076669966,-0.0041552806944484,0.0155479198248167,-0.0079880620891388,-0.000209076669966,0.021694320406718003
2000-01-28,-0.0002113347790125,-0.0280521475087455,-0.017973768005968102,-0.0419887344164867,-0.0002113347790125,0.1045542093431898
2000-01-31,-0.0002135916217581,0.024691258907366502,-0.016163131473606297,0.0351141950640396,-0.0002135916217581,-0.046806423692238
2000-02-01,-0.0002143436115606,0.0103573973038461,0.0121591146241009,0.0360198343786977,-0.0002143436115606,-0.062217668960804
2000-02-02,-0.0002124633608255,-0.0003260272115729,0.0201440039355552,0.0058956080678724,-0.0002124633608255,-0.014384910684646299
2000-02-03,-0.0002098295157641,0.0109755181821555,0.0304438431099225,0.0332426848902095,-0.0002098295157641,-0.0494110036815993
2000-02-04,-0.0002120871965711,-0.000633220232293,0.0029015398078736003,0.0057966331949694,-0.0002120871965711,-0.021797278902102
2000-02-07,-0.0002113347790125,-0.0003026107933291444,-0.006561267187288,0.014894526094014801,-0.0002113347790125,0.0561988344190748
2000-02-08,-0.0002132155644452,0.0119852781081483,0.027892991960729398,0.032162836166411496,-0.0002132155644452,-0.0701782036239389
2000-02-09,-0.0002120871965711,-0.0212472042563222,0.008595825235789601,-0.0236989987101128,-0.0002120871965711,0.07456791133513019
2000-02-10,-0.0002124633608255,0.0034077794919509,0.0065571243907161,0.0299544064142066,-0.0002124633608255,0.0071837016944573
2000-02-11,-0.0002117110145945,-0.0214040100037841,0.033488454162617295,-0.0302702495080327,-0.0002117110145945,0.056657701834794294
2000-02-14,-0.0002109585256982,0.0018199283278508998,0.0018781361578671,0.0041234159225102,-0.0002109585256982,-0.0018503407023991
2000-02-15,-0.0002154713201776,0.008459476232902101,-0.0240554476515413,0.0025153153302440003,-0.0002154713201776,-0.0619686657750304
2000-02-16,-0.0002143436115606,-0.0105237164282411,0.005523336171539699,2.0788698778400017e-05,-0.0002143436115606,0.0252016335006822
2000-02-17,-0.0002150954588871,0.0002099626785876,0.007243731339960599,0.0311562879202641,-0.0002150954588871,-0.0147826260093001
2000-02-18,-0.0002150954588871,-0.0310621985405791,0.0031297425289882,-0.039678211501852204,-0.0002150954588871,0.11502310082552
2000-02-22,-0.0002162229538927,0.0042904505272224995,-0.0152880533757248,0.0006356823217577999,-0.0002162229538927,-0.005615364029515
2000-02-23,-0.000217725794353,0.0060634133119846,0.0190864717502531,0.0491729574659721,-0.000217725794353,-0.0794551869509069
2000-02-24,-0.000217725794353,-0.005567456110598301,0.0030257954368131,0.019481020049949102,-0.000217725794353,0.020085428046439
2000-02-25,-0.0002169744452665,-0.015157063830702,0.026826020213016902,-0.0178818065329297,-0.0002169744452665,0.032863960717387904
2000-02-28,-0.0002184770012061,0.0107386017447744,-0.0180185735812695,-0.0041630372890827,-0.0002184770012061,-0.021069290391464098
2000-02-29,-0.000217725794353,0.0133173473022927,0.0092663092427031,0.024652268867998303,-0.000217725794353,-0.054757752735366705
2000-03-01,-0.0002162229538927,0.009085891774589301,-0.0039655283846874,0.0095949730358187,-0.0002162229538927,-0.07712598164187841
2000-03-02,-0.0002158471637913,0.0016458809712025,0.0133218719936306,-0.017715448999439103,-0.0002158471637913,-0.027383791590318
2000-03-03,-0.0002173501465491,0.019425503650832298,0.0025641077669658003,0.0478747171187643,-0.0002173501465491,-0.0921619023719463
