Model,AIC,BIC
ARCH(1),-40057.42323328885,-40037.07994908324
"GARCH(1,1)",13286.17224778248,13320.077721458494
"EGARCH(1,1)",,
"GARCH(1,1) t-student (final)",13286.17224778248,13320.077721458494
