,Coef.,Std.Err.,z,P>|z|,[0.025,0.975]
const,-0.00017450636078791698,1.0180255551074328e-05,-17.1416483517942,7.256407134494842e-66,-0.00019445929502143663,-0.00015455342655439734
MKT_RF,1.0074893980810116,0.0020057757556636267,502.29413494315355,0.0,1.0035581498388473,1.0114206463231759
SMB,-0.1233563075967543,0.0035138079950597367,-35.10616054439741,5.42893664204794e-270,-0.1302432447156603,-0.11646937047784832
HML,0.02058350333969422,0.0030523536152404565,6.7434858257969905,1.5463106806131374e-11,0.014601000185742296,0.026566006493646144
RMW,0.0902725475384349,0.005474685887291911,16.489082551380644,4.395733400921066e-61,0.07954236037267305,0.10100273470419675
CMA,0.05721574775184418,0.005424052138257774,10.548524662637572,5.1600962781468305e-26,0.04658480091059147,0.06784669459309689
MOM,-0.017306015316524242,0.002638608347546215,-6.55876622713562,5.425477707014436e-11,-0.02247759264702157,-0.012134437986026914
