,Coef.,Std.Err.,z,P>|z|,[0.025,0.975]
const,0.0015405990167181767,0.0005493783557490499,2.8042586690872575,0.0050432426507340195,0.0004638372255642055,0.0026173608078721477
MKT_RF,-4.547028707187795,0.17779743469677678,-25.57420873334021,2.954349054709156e-144,-4.895505275737089,-4.1985521386385
SMB,-0.23294473473180996,0.13577028871891675,-1.7157268864182211,0.08621204140795968,-0.49904961079149157,0.03316014132787168
HML,-0.037173405709187944,0.1499720411871413,-0.24786890553020768,0.8042358390543674,-0.3311132051239425,0.25676639370556664
RMW,-0.29539672854204124,0.19456567057309196,-1.5182366327623575,0.1289547556851164,-0.676738435493186,0.08594497840910359
CMA,-0.5603204872208394,0.2429203035520696,-2.306602120232966,0.021077011244901103,-1.0364355332964332,-0.08420544114524564
MOM,-0.9653141324239236,0.1072777001502669,-8.99827392898786,2.2929411060338423e-19,-1.175574561062734,-0.7550537037851133
