,Coef.,Std.Err.,z,P>|z|,[0.025,0.975]
const,-0.00024291644716334385,0.00012657829289442583,-1.9191003576415055,0.05497163422766302,-0.0004910053424609807,5.172448134293004e-06
MKT_RF,0.5618358462852567,0.025306331490924237,22.20139440150586,3.3296040321678407e-109,0.5122363479822134,0.6114353445883001
SMB,0.001736230228643456,0.048753740253447676,0.03561224676542999,0.9715915430101807,-0.09381934477973468,0.09729180523702159
HML,0.22243493986499868,0.0408414037128534,5.446309863120476,5.142551894553103e-08,0.14238725950974557,0.3024826202202518
RMW,-0.13426125133632472,0.039535579928159856,-3.395960084063291,0.0006838833190864986,-0.2117495641034227,-0.056772938569226744
CMA,0.10628556412154615,0.06352253442753561,1.673194639971319,0.09428898519853574,-0.018216315563129304,0.2307874438062216
MOM,-0.0691163657384303,0.02454628151960417,-2.815757070301248,0.004866244762290627,-0.11722619347123558,-0.021006538005625026
