,Coef.,Std.Err.,z,P>|z|,[0.025,0.975]
const,-9.636765426659334e-05,6.641510644996432e-05,-1.4509899843222358,0.1467826491646994,-0.00022653887093791725,3.380356240473055e-05
MKT_RF,0.06031190282009934,0.01719755146979637,3.507005222576227,0.0004531802541750554,0.02660532131702459,0.0940184843231741
SMB,-0.01085066884290196,0.015071168527678648,-0.7199620137598743,0.47154838410214106,-0.04038961636208566,0.01868827867628174
HML,0.0284352759451916,0.016597007337608403,1.7132773015505016,0.08666153619858008,-0.004094260687667876,0.06096481257805108
RMW,0.04879066663471292,0.026374260687063566,1.8499349503527307,0.06432292574469346,-0.0029019344308022915,0.10048326770022813
CMA,-0.038317527414485714,0.021353846252115272,-1.7944086963110943,0.07274795990352205,-0.08017029700003726,0.003535242171065836
MOM,-0.002573610506244116,0.01082783091116206,-0.23768477060267576,0.812125596513821,-0.023795769122811273,0.01864854811032304
