,Coef.,Std.Err.,z,P>|z|,[0.025,0.975]
const,-0.00024950692114485276,0.00010159604678016394,-2.4558723400403766,0.014054307398535089,-0.00044863151380562056,-5.0382328484084924e-05
MKT_RF,0.48871051519766934,0.02185488422529919,22.36161537895216,9.30821152455183e-111,0.44587572922979035,0.5315453011655483
SMB,0.043117940754242294,0.04318185656346826,0.9985198457335426,0.3180273459864016,-0.041516942895730054,0.12775282440421465
HML,0.2206554275318547,0.037520759309930964,5.8808891821507405,4.0806831690987965e-09,0.14711609061179406,0.2941947644519153
RMW,0.10247452776342586,0.03207871333894859,3.1944712582660135,0.0014008723350028606,0.039601404948702,0.1653476505781497
CMA,-0.006661914842111389,0.05797069768428431,-0.11491865905069855,0.908509595293442,-0.12028239446196815,0.10695856477774537
MOM,-0.039951271939216076,0.020057603826082657,-1.9918267548621107,0.046390069626077425,-0.07926345305451088,-0.0006390908239212803
