,Coef.,Std.Err.,z,P>|z|,[0.025,0.975]
const,5.4724322199212555e-05,6.965939918468264e-05,0.7855985385995957,0.4321027209088004,-8.180559138746422e-05,0.00019125423578588932
MKT_RF,1.1313357819636203,0.013090072294670695,86.42700792601552,0.0,1.1056797117110402,1.1569918522162004
SMB,-0.1467652181189681,0.021946590521090308,-6.687381257600316,2.2719942340013927e-11,-0.18977974512375323,-0.10375069111418295
HML,-0.3873663292116713,0.02250493264268606,-17.21250782492622,2.1396202893451842e-66,-0.4314751866658358,-0.3432574717575068
RMW,-0.4567211094427543,0.03411238328089661,-13.388718861473517,7.038434623732831e-41,-0.523580152100138,-0.38986206678537066
CMA,-0.4263136344611787,0.05314699347257173,-8.021406416549075,1.0454121255319078e-15,-0.5304798275540046,-0.32214744136835277
MOM,-0.013813395928197586,0.019171307987947923,-0.7205244387540695,0.47120215826519884,-0.051388469121100566,0.02376167726470539
