Date,IBEX_vol_model,SPX_vol_model,IBEX_RV,SPX_RV
2000-01-04,0.01756899521308194,0.015916856228064696,,
2000-01-05,0.021055153203850475,0.022825663064653164,,
2000-01-06,0.02361856689628118,0.01793527869948527,,
2000-01-07,0.02223419967154097,0.01696493399866252,,
2000-01-10,0.02107832274191851,0.04249900340096106,,
2000-01-11,0.019899537853740466,0.02711370440029236,,
2000-01-12,0.020470114739957287,0.003346682540195399,,
2000-01-13,0.02101765963689726,0.01164019303828914,,
2000-01-14,0.01985048427447177,0.027987478754444607,,
2000-01-17,0.018881064170384557,0.026553235822465004,,
2000-01-18,0.017884453792358253,0.01605346349383423,,
2000-01-19,0.019248352864431342,0.009244766160375605,,
2000-01-20,0.018195170480815304,0.016516640247539002,,
2000-01-21,0.0179630462135962,0.008986196223829455,,
2000-01-24,0.017808118674269416,0.013112045145469844,,
2000-01-25,0.017003128541645988,0.011856668643639422,,
2000-01-26,0.0170683119256402,0.021992748947482915,,
2000-01-27,0.01624824438527886,0.011868409014244938,,
2000-01-28,0.015489621610925614,0.012100324911224106,,
2000-01-31,0.016816301604360623,0.01167402060934506,0.2627956465988392,0.2597997853898259
2000-02-01,0.01780832633599773,0.040684581272065035,0.23951496231613373,0.2233290150766487
2000-02-02,0.016913687191980813,0.026556456583276312,0.2229545106166482,0.22325614474982206
2000-02-03,0.01614084841811965,0.015941408831326102,0.24560643374382793,0.2266131366886894
2000-02-04,0.015497555190252723,0.027090797991706595,0.23543308151252465,0.20478913576631336
2000-02-07,0.01470088117821544,0.01564048134377348,0.23670514128990655,0.2000882245077597
2000-02-08,0.014694801224078338,0.015923133403076273,0.24667768617131572,0.200170412719341
2000-02-09,0.01413442326673404,0.02809467621211143,0.23749816533443907,0.21341353208489627
2000-02-10,0.013472965811328308,0.005156506509885749,0.23742304645254192,0.20873063981358983
2000-02-11,0.012841808110643026,0.019581136906980896,0.25117155536194496,0.21539007511025382
2000-02-14,0.012448820197836632,0.00519665087240645,0.2510069149420262,0.21585242260221107
2000-02-15,0.01185248311103154,0.01800637334933691,0.2568591378955799,0.2188436892247731
2000-02-16,0.014316463938696542,0.024607548586314344,0.25688353220459836,0.2206509789809577
2000-02-17,0.013620436612043638,0.005941503897043811,0.2534542794596316,0.2201348947713555
2000-02-18,0.012984262928153778,0.01641622629101852,0.24924769561067175,0.24279854915660745
2000-02-21,0.012361318180377489,0.014658846012503161,0.25350383519171893,0.22484853169708136
2000-02-22,0.012806803828108565,0.016010846421689418,0.2594462927287575,0.2241814851836618
2000-02-23,0.01400721623252582,0.020475183571723052,0.26185389841195156,0.2259529747748039
2000-02-24,0.013430303186135844,0.022242703024626522,0.2591010407178508,0.22620353447461705
2000-02-25,0.01277664910744672,0.010759364053654144,0.2559933892117473,0.21047306878517352
2000-02-28,0.01233934977122954,0.001482108545440541,0.2582781186014074,0.19278903223638183
2000-02-29,0.013932918349439018,0.026851544800807908,0.2576859640961768,0.19555637207812573
2000-03-01,0.013290097115816557,0.029441293090117986,0.25514735644041864,0.19929043463232501
2000-03-02,0.013080680661850122,0.025258741578886492,0.2396788689421526,0.19437111808610136
2000-03-03,0.012524826108336853,0.017886455113758606,0.23971293279726397,0.20844117942535248
2000-03-06,0.011928436038310135,0.03547518455524904,0.23607129190818618,0.21289791636352567
2000-03-07,0.011391805927867944,0.0038679298802766727,0.22743312152708664,0.22392603106012002
2000-03-08,0.012278111275370318,0.009803039734463155,0.22678792716854698,0.216728845930905
2000-03-09,0.011701662009833018,0.024064607323976573,0.22974096953536288,0.23641743442774757
2000-03-10,0.012143501620991443,0.041071115959139995,0.19796276168746202,0.22425134627589938
2000-03-13,0.012034903396248449,0.011510410091111967,0.2028570864892208,0.22614745203842473
2000-03-14,0.01295372945467162,0.007860138160407277,0.19047031048860713,0.23182078631425984
2000-03-15,0.012422356637861757,0.0019128782985643705,0.20751692400989,0.246157079163457
2000-03-16,0.014608864345729784,0.039765625119858386,0.20578039191877595,0.2961727970925493
2000-03-17,0.014054393407871997,0.062174165075132654,0.20797413990811722,0.2687453642146452
2000-03-20,0.013398657980461935,0.020326924044918107,0.2054211172332836,0.2705313563211269
2000-03-21,0.012823950174606757,0.01073097553853041,0.19810813179060394,0.28091694550315655
2000-03-22,0.012720028147880348,0.041020610725227384,0.18998976702510298,0.28087852938125824
2000-03-23,0.013429946983481662,0.020586790398025353,0.19125917324606456,0.2816121417797023
2000-03-24,0.013728392283925877,0.033496966419193426,0.1674165263245661,0.27164046240094225
2000-03-27,0.013114544674366044,0.01616053147862111,0.15694718539896382,0.27304359192540034
2000-03-28,0.01297499778314359,0.013681592152334623,0.15315286501041542,0.27779155741077205
2000-03-29,0.012357597154506978,0.005518697811201732,0.15600377570688728,0.27770273532525197
2000-03-30,0.012966421996772443,0.016513679653852798,0.15952139329177972,0.28508708926958715
2000-03-31,0.014977556501931133,0.0026009598380272165,0.16382377681310864,0.27920779578085175
2000-04-03,0.014256137173869076,0.02306688072379494,0.1717621233415681,0.2728760134831121
2000-04-04,0.016113370105754785,0.020902106024469833,0.17045107951828695,0.25317293531904866
2000-04-05,0.01629115512029798,0.00864784304027135,0.17628823849275577,0.2551894722945616
2000-04-06,0.017614969499005647,0.011113722551578054,0.19791818570991737,0.243771145789168
2000-04-07,0.016791332299127576,0.025263723958079097,0.2097566530747818,0.24281546631638698
2000-04-10,0.01599308276551167,0.025885605983260892,0.20680262783444336,0.24256862663566056
2000-04-11,0.015380312507861545,0.008314323609336066,0.20589883504963843,0.22990083501633818
