Horizon,IBEX_vol,SPX_vol
1,0.008898443904729103,0.011743233581221948
2,0.00900599480606179,0.01168477392431871
3,0.009072525518164768,0.011626831260102754
4,0.009140161452806397,0.011569402136050828
5,0.009242388132580397,0.01151248311696294
6,0.009305873330126509,0.011456070784783355
7,0.0094011330152977,0.011400161738424126
8,0.009460188394426767,0.011344752593591169
9,0.009522715013003587,0.011289839982612912
10,0.009614404070699857,0.011235420554271545
11,0.00969006523160379,0.011181490973636873
12,0.009761337645364694,0.011128047921902818
13,0.009838080032674194,0.011075088096226572
14,0.009910241813636873,0.011022608209570439
15,0.009963565996127159,0.010970604990546362
16,0.010040291544341102,0.010919075183263183
17,0.010077267923628898,0.010868015547176625
18,0.010140600518846188,0.010817422856942044
19,0.01018935240935748,0.010767293902269931
20,0.010234472588620367,0.010717625487784224
